id_ligne,nom_ligne,pourcentage_electrique
3,B2,71.42857142857143
66,B18,57.142857142857146
49,M20,55.55555555555556
26,T8,53.84615384615385
75,B20,53.84615384615385
4,M1,52.63157894736842
77,B21,52.38095238095238
1,B1,50.0
48,T16,50.0
89,M37,50.0
98,T32,50.0
84,T25,47.61904761904762
94,B26,45.45454545454545
86,B24,45.0
61,B17,43.75
70,M31,43.75
54,B15,43.47826086956522
19,M6,38.888888888888886
6,B3,38.46153846153846
35,T11,38.46153846153846
58,M24,38.46153846153846
83,B23,38.46153846153846
97,B28,38.46153846153846
65,M28,37.03703703703704
63,M26,36.8421052631579
81,M36,36.36363636363637
37,M16,36.0
57,T19,36.0
74,M33,35.714285714285715
62,M25,35.294117647058826
72,B19,35.294117647058826
14,T4,35.0
25,M9,34.78260869565217
76,M34,34.78260869565217
24,T7,34.61538461538461
15,T5,33.333333333333336
17,M5,33.333333333333336
40,M18,33.333333333333336
79,T23,33.333333333333336
100,M39,32.0
18,B7,31.818181818181817
7,B4,31.57894736842105
12,M4,31.57894736842105
52,T18,31.57894736842105
42,T13,31.25
11,T2,30.76923076923077
27,M10,30.76923076923077
43,B11,30.0
53,B14,30.0
88,B25,30.0
5,M2,29.41176470588235
39,T12,29.41176470588235
82,T24,29.41176470588235
90,T28,29.41176470588235
44,B12,29.166666666666668
87,T27,29.166666666666668
95,T31,29.166666666666668
34,B10,28.571428571428573
56,M23,28.571428571428573
50,M21,28.0
23,B9,27.272727272727273
60,B16,26.666666666666668
38,M17,26.31578947368421
47,T15,26.31578947368421
93,M38,26.31578947368421
99,T33,26.31578947368421
9,M3,25.0
10,B6,25.0
31,T9,25.0
32,M14,25.0
59,T20,25.0
78,B22,25.0
91,T29,24.0
45,B13,23.80952380952381
69,T21,23.529411764705884
20,M7,23.076923076923077
41,M19,22.727272727272727
21,B8,22.22222222222222
28,M11,22.22222222222222
55,M22,22.22222222222222
68,M30,22.22222222222222
64,M27,21.73913043478261
30,M13,21.428571428571427
8,B5,20.0
22,M8,20.0
46,T14,20.0
80,M35,20.0
16,T6,18.181818181818183
85,T26,18.181818181818183
71,M32,17.647058823529413
33,T10,16.666666666666668
51,T17,15.789473684210526
96,B27,15.0
13,T3,13.636363636363637
2,T1,13.333333333333334
73,T22,12.0
36,M15,10.526315789473685
67,M29,8.333333333333334
29,M12,0.0
92,T30,0.0
